 Entering Gaussian System
 *********************************************
 Gaussian 98:
 frequency output generated by the xtb code
 *********************************************
                         Standard orientation:
 --------------------------------------------------------------------
  Center     Atomic     Atomic              Coordinates (Angstroms)
  Number     Number      Type              X           Y           Z
  11   6    -0.02   0.01  -0.12     0.02  -0.02   0.01    -0.05  -0.06  -0.04
  12   6    -0.02   0.01  -0.12     0.02  -0.02  -0.02    -0.05  -0.06  -0.02
  13   6    -0.02   0.01  -0.11     0.02  -0.02  -0.03    -0.05  -0.06  -0.02
  14   6    -0.02   0.01  -0.10     0.02  -0.02  -0.03    -0.05  -0.06  -0.04
  15   6    -0.02   0.01  -0.09     0.02  -0.03  -0.06    -0.05  -0.06  -0.01
  16   6    -0.02   0.01  -0.07     0.02  -0.03  -0.07    -0.05  -0.05  -0.01
  17   6    -0.02   0.01  -0.04     0.02  -0.03  -0.08    -0.04  -0.04   0.01
  18   6    -0.02   0.02  -0.01     0.02  -0.03  -0.07    -0.04  -0.03   0.00
  19   6    -0.03   0.02   0.01     0.01  -0.04  -0.04    -0.05  -0.02  -0.00
  20   7    -0.03   0.02   0.04     0.01  -0.04  -0.02    -0.06   0.00  -0.02
  21   6    -0.02   0.02   0.05     0.02  -0.03  -0.01    -0.04   0.01  -0.02
  22   6    -0.02   0.02   0.08     0.02  -0.03   0.03    -0.04   0.03  -0.04
  23   6    -0.02   0.02   0.09     0.03  -0.03   0.02    -0.04   0.03  -0.06
  24   6    -0.02   0.02   0.10     0.03  -0.02   0.06    -0.04   0.04  -0.06
  25   6    -0.02   0.02   0.11     0.02  -0.02   0.10    -0.04   0.04  -0.05
  26   6    -0.02   0.02   0.10     0.01  -0.03   0.11    -0.04   0.04  -0.03
  27   6    -0.02   0.02   0.09     0.01  -0.03   0.07    -0.04   0.03  -0.03
  28   6    -0.02   0.02   0.10     0.01  -0.02   0.14    -0.04   0.03  -0.02
  29   6    -0.02   0.02   0.09    -0.00  -0.02   0.14    -0.03   0.03   0.00
  30   6    -0.02   0.02   0.08    -0.00  -0.02   0.15    -0.02   0.02   0.01
  31   6    -0.02   0.02   0.05    -0.01  -0.01   0.11     0.01   0.02   0.03
  32   6    -0.02   0.01   0.03     0.02  -0.04   0.05     0.04   0.06   0.04
  33   6    -0.01   0.01   0.00     0.04  -0.03  -0.02     0.10   0.07   0.04
  34   6    -0.01   0.03  -0.02     0.02   0.00  -0.03     0.14   0.03   0.03
  35   6    -0.00   0.03  -0.06     0.04   0.01  -0.11     0.23   0.04   0.00
  36   6     0.01   0.02  -0.08     0.11  -0.01  -0.20     0.28   0.09  -0.01
  37   6     0.01   0.01  -0.07     0.08  -0.04  -0.07     0.27  -0.05  -0.01
  38   6    -0.00   0.08  -0.07    -0.03   0.10  -0.14     0.26   0.08  -0.00
  39   6    -0.01   0.04   0.01    -0.02   0.02   0.05     0.10  -0.01   0.03
  40   6    -0.02   0.04   0.04    -0.03   0.01   0.11     0.04  -0.01   0.03
  41   6    -0.02   0.02   0.08    -0.00  -0.01   0.18    -0.03   0.02  -0.00
  42   6    -0.02   0.01   0.09     0.01  -0.01   0.18    -0.04   0.02  -0.02
  43   6    -0.02   0.01   0.10     0.01  -0.02   0.15    -0.04   0.03  -0.03
  44   7    -0.02   0.02   0.12     0.02  -0.02   0.14    -0.05   0.04  -0.06
  45   6    -0.03   0.01   0.07     0.03  -0.00   0.08    -0.04   0.04  -0.04
  46   6    -0.02  -0.00   0.05     0.05  -0.04   0.02    -0.03   0.05  -0.03
  47   6    -0.04  -0.02  -0.01     0.06  -0.03  -0.04    -0.01   0.06  -0.01
  48   6    -0.07  -0.02  -0.05     0.05   0.03  -0.05     0.00   0.08   0.01
  49   6    -0.10  -0.05  -0.12     0.06   0.05  -0.12     0.03   0.10   0.04
  50   6    -0.17  -0.01  -0.13     0.05   0.13  -0.16     0.07   0.09   0.05
  51   6    -0.07  -0.08  -0.15     0.05   0.05  -0.09     0.01   0.14   0.06
  52   6    -0.09  -0.07  -0.14     0.08  -0.01  -0.19     0.04   0.12   0.06
  53   6    -0.08  -0.00  -0.02     0.02   0.07   0.01    -0.01   0.07  -0.00
  54   6    -0.06   0.02   0.04     0.01   0.06   0.07    -0.03   0.05  -0.03
  55   6    -0.01   0.02   0.04     0.03  -0.03  -0.05    -0.03   0.00  -0.02
  56   7    -0.01   0.02   0.01     0.03  -0.03  -0.08    -0.03  -0.02  -0.01
